1,"Frodo, Sauron's Bane",EN,1,PLTR,Pre Release,448,W,NM,Pasta
2,Samwise the Stouthearted,EN,1,PLTR,Pre Release,449,W,NM,Pasta
3,"Gollum, Patient Plotter",EN,1,PLTR,Pre Release,450,B,NM,Pasta
4,The One Ring,EN,1,PLTR,Pre Release,451,C,NM,Pasta
5,Elesh Norn,BR,1,MOM,,12,W,NM,Pasta
6,Temporary Lockdown,EN,1,DMU,,36,W,NM,Pasta
7,Reforjar,BR,2,LTR,,17,W,NM,Pasta
8,Guardiã do Céu Interior,BR,3,LCI,,43,W,NM,Pasta
9,Tocar o Reino dos Espíritos,BR,1,MGDC,,4,W,NM,Pasta
10,Archaeomancer's Map,EN,1,C21,,12,W,NM,Pasta
11,Vingadora Phyrexiana,BR,1,ONE,Pre Release,27,W,NM,Pasta
12,Ao Meio-dia,BR,1,OTJ,Pre Release,15,W,NM,Pasta
13,Descanse em Paz,BR,1,BIG,,4,W,NM,Pasta
14,Cavaleira Errante de Eos,BR,1,MOM,,26,W,NM,Pasta
15,Fateful Abscence,EN,1,MID,,18,W,NM,Pasta
16,Animus do Pó,BR,1,OTJ,,9,W,NM,Pasta
17,Baleia-lacustre-de-chifre // Salto na Laguna,BR,1,SWOE,,278,U,NM,Pasta
18,Malevolent Hermit,EN,1,MID,,61,U,NM,Pasta
19,"Teferi, Peregrino Temporal",BR,1,BRO,,66,U,NM,Pasta
20,"Jace, Redesperto",BR,1,OTJ,,271,U,NM,Pasta
21,Triskaidekaphile,EN,1,MID,Foil,386,U,NM,Pasta
22,Master of the Pearl Trident,EN,1,DDT,,9,U,NM,Pasta
23,Disallow,EN,1,AER,,31,U,NM,Pasta
24,Mausoleum Wanderer,EN,1,EMN,,69,U,NM,Pasta
25,Glamerdye,EN,1,EVE,,21,U,NM,Pasta
26,"Fblthp, Perdido no Campo",BR,1,OTJ,,48,U,NM,Pasta
27,"Drana, Liberator of Malakir",EN,1,NCC,,248,U,NM,Pasta
28,Adesão de Ossinhos,BR,1,OTJ,,108,U,NM,Pasta
29,Corte da Ambição,BR,1,CMR,,114,U,NM,Pasta
30,Árvore da Perdição,BR,1,EMN,,109,U,NM,Pasta
